Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Ishqa,"Abhijeet Sawant, Antara Mitra",Bollywood,Dishoom,9.4
Aahun Aahun,"Ashish Pandit, Jaspreet Singh, Master Saleem, Suzanne D'Mello",Bollywood Dance,Love Ajkal,9.3
Aahun Aahun,"Ashish Pandit, Master Saleem, Suzanne D'Mello",Bollywood Dance,Love Aj Kal,9.3
Dil Dance Maare,"Sukhwinder Singh, Sunidhi Chauhan, Udit Narayan",Bollywood Dance,Tashan,9.1
Kitni Baatein,"Hariharan, Sadhana Sargam, Shankar Ehsaan Loy",Bollywood Sad,Lakshya,9.7
Kitni Baatein,"Hariharan, Sadhana Sargam",Bollywood Sad,Lakshay,9.7
Char Baj Gaye (Party Abhi Baaki Hai),Hard Kaur,Bollywood Dance,F.A.L.T.U,9.5
Aa Gaya Aa Gaya,Udit Narayan,Bollywood Dance,Hum Tumhare Hain Sanam,8.1
Chand Sitare,Kumar Sanu,Bollywood Romantic,Kaho Naa.... Pyaar Hai,9.3
Bhanware Ne Khilaya Phool,"Lata Mangeshkar, Suresh Wadkar",Bollywood Dance,Prem Rog,7.5
O Piya O Piya,"Sadhana Sargam, Sukhwinder Singh",Bollywood Romantic,Jis Desh Mein Ganga Rehta Hai,8.6
Dekha Tujhe Toh,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Devdas,8.6
Engine Ki Seeti,"Resmi Sateesh, Sunidhi Chauhan",Bollywood Dance,Khoobsurat,9.2
Yeh Jawaani Hai Deewani (Mashup),"Arijit Singh, Mohit Chauhan",Bollywood Dance,Yeh Jawaani Hai Deewani,9.5
Main Heroine Hoon,Aditi Singh Sharma,Bollywood Dance,Heroine,9.1
Punjabi Mast,"Alamgir Khan, Ankit Tiwari, Arya Acharya, Himesh Reshammiya, Vineet Singh",Bollywood Dance,Action Jackson,8.9
Mere Hathon Mein Nau Nau,Lata Mangeshkar,Bollywood Dance,Chandni,8.4
Heer,"Arijit Singh, Harshdeep Kaur",Bollywood Dance,Yeh Jawaani Hai Deewani,9.4
Mere Bina,Nikhil Dsouza,Bollywood Romantic,Crook,9.6
Ishq Chupta Nahi Chupane Se,Abhijeet,Bollywood Sad,Bewaffa,8.9
Ishq Chupta Nahi,Abhijeet,Bollywood Romantic,Bewafaa,8.9
Tu Jahaan,Sonu Nigam,Bollywood Romantic Sad,Salaam Namaste,9.4
Girls Like To Swing,Sunidhi Chauhan,Bollywood Dance,Dil Dhadakne Do,9.1
Tu Kamaal Di Kudi,"Mamta Sharma, Vineet Singh",Bollywood Dance,Son of Sardaar,8.5
Tu Kamaal Di Kudi,"Mamta Sharma, Vineet Singh",Bollywood Dance,Son of Sardaar,8.5
Sapne Mein,"Asha Bhosle, Suresh Wadkar",Bollywood Dance,Satya,9.3
Sadka,"Mahalakshmi Iyer, Suraj Jagan",Bollywood,I Hate Luv Story,9.5
Dekho Dekho Jaanam,"Alka Yagnik, Udit Narayan",Bollywood Dance,Ishq,9.3
Chhan Ke Mohalla,"Ritu Pathak, Sunidhi Chauhan",Bollywood Dance,Action Replayy,9.4
Kaahe Chhed,"Kavita Krishnamurthy, Madhuri Dixit, Pandit Birju Maharaj",Bollywood Dance,Devdas,9.2
Aate Jaate Jo Milta Hai,"Alka Yagnik, Sonu Nigam",Bollywood Dance,Har Dil Jo Pyar Karega,9.4
Uff Teri Adaa I Like You,"Alyssa Mendonsa, Shankar Mahadevan",Bollywood Dance,Karthik Calling Karthik,9.6
Pant Mein Gun,Diljit Dosanjh,Bollywood Dance,Welcome To New York,9.0
Bachna Ae Haseeno,"Kishore Kumar, Sumit Kumar, Vishal Dadlani",Bollywood Dance,Bachna Ae Haseeno,9.3
Ang Se Ang Lagana,"Alka Yagnik, Devki Pandit, Sudesh Bhosle, Vinod Rathod",Bollywood Dance,Darr,8.0
Janib (Duet),"Arijit Singh, Sunidhi Chauhan",Bollywood Romantic,Dilliwaali Zaalim Girlfriend,9.6
Seedha Saadha,Amit Mishra,Bollywood Sad,Commando 2,9.3
Aaya Re,"Kunal Ganjawala, Sunidhi Chauhan",Bollywood Dance,Chup Chup Ke,9.0
Koi Fariyaad,Jagjit Singh,Bollywood Sad,Tum Bin,9.4
Rangreli,"Shreya Ghoshal, Wajid",Bollywood Dance,Daawat e Ishq,9.4
Loot Jayenge,"Jayesh Gandhi, Kunal Ganjawala",Bollywood Dance,Aksar,8.9
Pyar Kiya To Darna Kya,Lata Mangeshkar,Bollywood Dance,Mughal-E-Azam,8.6
Hum To Bhai Jaise Hain,Lata Mangeshkar,Bollywood Dance,Veer Zaara,9.2
Jatt Jaguar,"Apeksha Dandekar., Navraj Hans, Vishal Dadlani",Bollywood Dance,Mubarakan,9.2
Yaad Aa Raha Ha,Bappi Lahiri,Bollywood Dance,Disco Dancer,8.5
Glamorous Ankhiyaan,"Anjjan, Krishna Beura, Meet Bros",Bollywood Dance,Ek Paheli Leela,8.9
Kitni Mohabbat Kis Ko,"Alka Yagnik, Kumar Sanu, Udit Narayan",Bollywood Romantic,Deewane,8.5
Tera Mera Rishta Purana,Mustafa Zahid,Bollywood Sad,Awarapan,9.1
Bin Tere,"Shafqat Amanat Ali, Sunidhi Chauhan",Bollywood Sad,I Hate Luv Storys,9.6
Tere Dil Ka Rishta,Sonu Nigam,Bollywood Romantic,Koi Aap Sa,9.2
Om Mangalam,"Nindy Kaur, RDB",Bollywood Dance,Kambakkht Ishq,9.5
Chhupana Bhi Nahin Aata,Vinod Rathod,Bollywood Romantic,Baazigar,9.2
Hum Pyar Karne Wale,"Adnan Sami, Anuradha Paudwal, Udit Narayan",Bollywood Romantic,Dil,7.8
Khwabon Khwabon,K.K. Suchitra,Bollywood Dance,Force,9.4
Yeh Haseen Vadiyan Yeh Khula Aasman,"A.R. Rahman, K. S. Chithra, S.P. Balasubrahmanyam",Bollywood Romantic,Roja,9.5
Yeh Hawa Yeh Bata,Lata Mangeshkar,Bollywood Dance,Ghazab,7.2
Khulke Dulke,"Gippy Grewal, Harshdeep Kaur",Bollywood Dance,Befikre,9.0
Musu Musu,Shaan,Bollywood Romantic,Pyaar Mein Kabhi Kabhi,9.6
Sajh Dhaj Ke,"Mika Singh, Pankaj Kapur",Bollywood Dance,Mausam,9.4
Dhiktana – 2,"Lata Mangeshkar, S.P. Balasubrahmanyam, Udit Narayan",Bollywood Dance,Hum Aapke Hain Koun,8.2
Pinky,"Mamta Sharma, Meet Bros Anjjan",Bollywood Dance,Zanjeer,9.3
Mujhe Kitna Pyar Hai Tumse,"Lata Mangeshkar, Mohammed Rafi",Bollywood Romantic,Dil Tera Deewana,8.8
The Disco Song (Remix),"Benny Dayal, Salim Merchant, Shahid Mallaya, Sunidhu Chauhan, Udit Narayan",Bollywood Dance,Student of the Year,9.5
Yeh Ishq Hai Gunah,"Sukhwinder Singh, Sunidhi Chauhan",Bollywood Romantic,Madhoshi,8.0
Kabhi Shaam Dhale,Lucky Ali,Bollywood Dance,Sur,9.0
In Lamhon Ke Daaman Mein,Javed Ali,Bollywood Romantic,Jodha Akbar,9.2
Agar Main Kahoon,"Alka Yagnik, Udit Narayan",Bollywood Romantic,Lakshay,9.6
Kaddu Katega,Antara Mitra,Bollywood Dance,R... Rajkumar,8.9
Ishaqzaade,"Javed Ali, Shreya Ghoshal",Bollywood Dance,Ishaqzaade,9.4
Race 2 (Mashup),Multiple,Bollywood Dance,Race 2,9.3
Allah Ke Bande,Kailash Kher,Bollywood Sad,Waisa Bhi Hota Hai,9.6
Aisa Jadoo,Sunidhi Chauhan,Bollywood Dance,Khakee,9.2
Saanson Ki Mala,Kavita Krishnamurthy,Bollywood Dance,Koyla,8.7
Mar Jayian,"Sunidhi Chauhan, Vishal Dadlani",Bollywood,Vicky Donor,9.6
Prabhu Ji,Asees Kaur,Bollywood Devotional,High Jack,9.1
Baby Doll (Remix),"Kanika Kapoor, Meet Bros",Bollywood Dance,Ragini MMS 2,8.9
Aa Tayar Hoja,Sunidhi Chauhan,Bollywood Dance,Asoka,9.4
Humko Pyaar Hua,"K.K., Tulsi Kumar",Bollywood Romantic,Ready,9.4
Jugni Peeke Tight Hai,"Divya Kumar, Kanika Kapoor, Sukriti Kakkar",Bollywood Dance,Kis Kisko Pyaar Karoon,9.1
Mere Rang Mein Rangne Wali,"Asad Bhopali, S.P. Balasubrahmanyam",Bollywood Romantic,Maine Pyar Kiya,8.9
Toh Phir Aao,Mustafa Zahid,Bollywood Sad,Awarapan,9.3
Ajnabi Mujhko Itna Bata,"Asha Bhosle, Jatin-Lalit, Udit Narayan",Bollywood Romantic,Pyaar To Hona Hi Tha,9.0
Dil Dhadakne Do,"Joi Barua, Shankar Mahadevan, Suraj Jagan",Bollywood,Zindagi Na Milegi Dobara,9.5
Tu Mere Paas,Ankit Tiwari,Bollywood Sad,Wazir,9.6
Dhat Teri Ki,"Aditi Singh Sharma, Sanam Puri",Bollywood Dance,Dhat Teri Ki,9.5
Der Se Aana Jaldi Jaana,"Alka Yagnik, Manhar Udhas",Bollywood Dance,Khal Nayak,8.1
Is This Love – Kahin Na Laage,"Mohit Chauhan, Shreya Ghoshal",Bollywood Dance,Kismat Konnection,9.6
Bol Radha Bol,Mukesh,Bollywood Romantic,Sangam,8.5
Tu Hi Khwahish,Sunidhi Chauhan,Bollywood Dance,Once Upon A Time In Mumbaai Dobara,9.3
Chak De India,"Marianne D'Cruz, Salim Merchant, Sukhwinder Singh",Bollywood Dance,Chak De India,9.4
Ruk Ja O Dil Deewane,Udit Narayan,Bollywood Romantic,Dilwale Dulhania Le Jayenge,9.3
Nanga Punga Dost,Shreya Ghoshal,Bollywood Dance,PK,8.8
Tanhayee,Sonu Nigam,Bollywood Sad,Dil Chahta Hai,9.3
Beat It Bijuriya,"Asees Kaur, Renesa Baadchi",Bollywood Dance,Munna Michael,8.8
Tum Saath Ho Jab Apne,"Asha Bhosle, Kishore Kumar",Bollywood Dance,Kaalia,9.0
Most Wanted Munda,"Earl Edgar, Meet Bros",Bollywood Dance,Ki & Ka,9.3
Mehram,Arijit Singh,Bollywood Dance,Kahaani 2,9.1
Naina,Rahat Fateh Ali Khan,Bollywood Sad,Omkara,9.2
Sab Kuchh Bhula Diya,"Sapna Awasthi, Sonu Nigam",Bollywood Sad,Hum Tumhare Hain Sanam,8.7
Ungli Pe Nachalein,"Dev Negi, Shipra Goyal",Bollywood Dance,Ungli,9.3
Do Me A Favour Let’s Play Holi,"Anu Malik, Sunidhi Chauhan",Bollywood Dance,Waqt- The Race Against Time,8.7
Aise Na Mujhe Tum Dekho,Kishore Kumar,Bollywood Romantic,Darling Darling,9.3
Kahin Door Jab Din Dhal Jaye,Mukesh,Bollywood Romantic,Anand,9.4
Gilehriyaan,Jonita Gandhi,Bollywood,Dangal,9.5
Tanha Tanha Yahan Pe Jeena,Asha Bhosle,Bollywood Dance,Rangeela,9.0
Khwahishein,Shreya Ghoshal,Bollywood Romantic,Heroine,9.7
Zindagi Kaisi Hai Paheli,Manna Dey,Bollywood Dance,Anand,9.3
Sachi Muchi,"Harshdeep Kaur, Mohit Chauhan",Bollywood Dance,Sultan,8.7
Saawli Saloni Teri,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Hum Sub Chor Hain,8.7
Soniye,"K.K., Sunidhi Chauhan",Bollywood Romantic,Aksar,9.3
Koi Yeh Kaise Bataye,Jagjit Singh,Bollywood Sad,Arth,9.4
Dekho Nashe Mein,"K.K., Shaan, Sunidhi Chauhan",Bollywood Dance,Race,9.3
Mein Sharabi,Yo Yo Honey Singh,Bollywood Dance,Cocktail,9.3
Ho Sarkay Leo Khattiya Jada Lage,"Kumar Sanu, Poornima",Bollywood Romantic,Raja Babu,8.0
Nadiya Chale Chale Re Dhara,Manna Dey,Bollywood Dance,Safar,8.6
Khatam Kahani,"Jyoti Nooran, Sultana Nooran, Vishal Mishra",Bollywood,Qarib Qarib Single,8.8
Jiya Jale,"Lata Mangeshkar, M.G. Sreekumar",Bollywood Dance,Dil Se,9.4
Manva Likes To Fly,Shalmali Kholgade,Bollywood Dance,Tumhari Sulu,8.8
Aashayein,"KK, Salim Merchant",Bollywood Motivational,Iqbal,9.5
Aisa Kyoon Hota Hai,Alka Yagnik,Bollywood Romantic,Ishq Vishk,9.3
Aaja Shaam Hone Aayi,"Lata Mangeshkar, S.P. Balasubrahmanyam",Bollywood Dance,Maine Pyar Kiya,8.7
Cocktail Mashup,Multiple,Bollywood Dance,Cocktail,9.5
Teri Mehfil Mein Kismat Azmakar,"Lata Mangeshkar, Shamshad Begum.",Bollywood Dance,Mughal-E-Azam,8.9
Pandey Jee Seeti,"Mamta Sharma, Shreya Ghoshal, Wajid",Bollywood Dance,Dabangg 2,8.7
Ye Jawaani Teri,"Jonita Gandhi, Nakash Aziz",Bollywood Dance,Meri Pyaari Bindu,9.4
Kitaben Bahut Si,"Asha Bhosle, Vinod Rathod",Bollywood Dance,Baazigar,8.8
Jahan Teri Yeh Nazar Hai,Kishore Kumar,Bollywood Dance,Kaalia,9.3
Namak Paare,"Anupam Amod, Mamta Sharma",Bollywood Dance,Raja Natwarlal,9.3
Nazdeekiyan,"Neeti Mohan, Nikhil Paul George",Bollywood Romantic,Shaandaar,9.6
Jhumritalaiyya,"Arijit Singh, Mohan Kanan",Bollywood Dance,Jagga Jasoos,9.3
Pyar Dilon Ka Mela Hai,"Alka Yagnik, Sonu Nigam",Bollywood Dance Romantic,Dulhan Hum Le Jaayenge,9.1
Aap Ki Ankhon Mein Kuch,"Kishore Kumar, Lata Mangeshkar",Bollywood Romantic,Ghar,9.2
Haawa Haawa,Mohit Chauhan,Bollywood Dance,Rockstar,9.5
Baatein Ye Kabhi Na (Female),Palak Muchhal,Bollywood Romantic,Khamoshiyan,9.5
Lakh Lakh,Neeraj Shridhar,Bollywood Dance,Kambakkht Ishq,9.1
Yari Hai Imaan Mera,Manna Dey,Bollywood Dance,Zanjeer,8.6
O Mere Sanam,"Lata Mangeshkar, Mukesh",Bollywood Sad,Sangam,8.3
Daag,Sukhwinder Singh,Bollywood Sad,Bhoomi,9.5
Koi Kahe Kehta Rahe,"K.K., Shaan, Shankar Mahadevan",Bollywood Dance,Dil Chahta Hai,9.4
Mere Khayalon Ki Malika,Abhijeet,Bollywood Romance,Josh,9.4
Krazzy 4,Vishal Dadlani,Bollywood Dance,Krazzy 4,9.3
Sun Zara,Adnan Sami,Bollywood Romantic,Lucky,9.4
Zinda Rehti Hain Mohabbatein,"Lata Mangeshkar, Udit Narayan",Bollywood Sad,Mohabbatein,9.5
Titliyan,Sunidhi Chauhan,Bollywood Dance,Rocky Handsome,9.3
Jeete Hain Chal,Kavita Seth,Bollywood Sad,Neerja,9.6
Hum Tum,"Alka Yagnik, Babul Supriyo",Bollywood Romantic,Hum Tum,9.4
Yun Hi Chala Chal,"Hariharan, Kailash Kher, Udit Narayan",Bollywood Dance,Swades,9.4
Dooriyan,Mohit Chauhan,Bollywood Sad,Love Aj Kal,9.4
Yeh Hum Aa Gaye Hain Kahaan,"Lata Mangeshkar, Udit Narayan",Bollywood Romantic,Veer Zaara,9.4
Yaar Na Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",Bollywood Dance,Kick,9.0
Yaar Naa Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",Bollywood Dance,Kick,9.0
Joganiyan,Shruti Haasan,Bollywood Romantic,Tevar,9.6
Huzur Is Kadar,"Bhupinder Singh, Suresh Wadkar",Bollywood Dance,Masoom,9.4
Aye Zindagi Gale Lagaa Le,Suresh Wadkar,Bollywood Romantic,Sadma,9.2
Surmayee Ankhiyon Mein,"Ilaiyaraaja, K.J. Yesudas",Bollywood Romantic,Sadma,9.2
Meri Ada Bhi,"Rahat Fateh Ali Khan, Tulsi Kumar",Bollywood Dance Romantic,Ready,9.3
Waada Raha Sanam,"Abhijeet, Alka Yagnik",Bollywood Dance Romantic,Khiladi,9.3
Tumse Hi Tumse,"Caralisa Monteiro, Shekhar Ravjiani",Bollywood Romantic,Anjaana Anjaani,9.6
"Gori Ka Sajan, Sajan Ki Gori","Mohammad Aziz, S. Janaki",Bollywood Dance,Aakhree Raasta,8.6
Falak Dekhun,Sonu Nigam,Bollywood Dance,Garam Masala,9.2
Shikdum,"Shaan, Shreya Ghoshal",Bollywood Dance Romantic,Dhoom,9.2
Bezubaan,K.K.,Bollywood Romantic,Laali Ki Shaadi Mein Laaddoo Deewana,8.5
Mere Bina Tu (Duet Version),"Harshdeep Kaur, Pritam",Bollywood Sad,Phata Poster Nikhla Hero,9.4
Alisha,"Anushka Manchanda, Salim Merchant",Bollywood Dance,Pyaar Impossible,9.4
Aaj Kal Yaad Kuch Aur Rehta Nahin,Mohammad Aziz,Bollywood Romantic,Nagina,8.2
Dil Kho Gaya,"Anuradha Paudwal, Udit Narayan",Bollywood Romantic,Dil,8.4
Sun Soniye,"Antara Mitra, Mohammed Irfan",Bollywood Romantic,Ajab Gazabb Love,9.5
Baadal,Sunidhi Chauhan,Bollywood Sad,Akira,9.5
Ae Mere Humsafar,"Alka Yagnik, Vinod Rathod",Bollywood Romantic,Baazigar,8.9
Idhar Chala Mein Udhar Chala,"Alka Yagnik, Udit Narayan",Bollywood Dance,Koi Mil Gaya,9.2
Kise Dhoondta Hai Pagal Sapare,Anuradha Paudwal,Bollywood Dance,Nigahen,7.2
Mere Dushman Mere Bhai,Hariharan,Bollywood Sad,Border,9.2
Aye Meri Zohra Jabeen,Manna Dey,Bollywood Dance,Waqt,9.0
Aye Dil Laaya Hai Bahaar,"Hariharan, Kavita Krishnamurthy",Bollywood Dance,Kya Kehna,9.4
Bad Baby,"Badshah, Gippy Grewal",Bollywood Dance,Second Hand Husband,8.7
Dil Kyun Yeh Mera,K.K.,Bollywood Romantic,Kites,9.5
Tum Se Milke,"Asha Bhosle, Suresh Wadkar",Bollywood Romantic,Parinda,9.4
Dhup Chik,"Badshah, Raftaar",Bollywood Dance,Fugly,9.3
Aadha Ishq,"Natalie Di Luccio, Shreya Ghoshal",Bollywood Romantic,Band Baaja Baaraat,9.6
Pink Lips (Remix),Khushboo Grewal,Bollywood Dance,Hate Story 2,9.0
Paathshaala,"Blaaze, Mohammed Aslam, Naresh Iyer",Bollywood Dance,Rang De Basanti,9.6
Ala Barfi,Mohit Chauhan,Bollywood Dance,Barfi,9.6
Kudi Tu Butter,Yo Yo Honey Singh,Bollywood Dance,Bajatey Raho,9.4
Churiyan Kanak Gayee,"Ila Arun, Lata Mangeshkar, Moinuddin Manchala",Bollywood Dance,Lamhe,8.9
Kapoor & Sons (Mashup),Multiple,Bollywood Dance,Kapoor & Sons,9.4
Mujhse Dosti Karoge,"Alka Yagnik, Asha Bhosle, Udit Narayan",Bollywood Romantic,Mujhse Dosti Karoge!,9.1
Hum To Dil Se Haare,"Alka Yagnik, Udit Narayan",Bollywood Sad,Josh,9.1
Soniye,K.K.,Bollywood Romantic,Heartless,9.7
Albela Sajan,"Kavita Krishnamurthy, Shankar Mahadevan, Ustad Sultan Khan",Bollywood Dance,Hum Dil De Chuke Sanam,9.2
Ehsan Tera Hoga Mujh Par,Mohammed Rafi,Bollywood Romantic,Junglee,9.6
Rola Pe Gaya,"Earl D'Souza, Hard Kaur, Mahadevan, Mahalakshmi Iyer, Master Saleem, Shankar",Bollywood Dance,Patiala House,9.3
Bande Mein Tha Dum… Vande Mataram,"Pranab Biswas, Shreya Ghoshal, Sonu Nigam",Bollywood Dance,Lage Raho Munna Bhai,9.4
Jawani Janeman,Asha Bhosle,Bollywood Dance,Namak Halaal,9.1
Yahi Hota Pyaar,"Himesh Reshammiya, Sunidhi Chauhan",Bollywood Sad,Namastey London,9.3
Jawani Janeman,Asha Bhosle,Bollywood Dance,Namak Halaal,9.1
Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,Bollywood Dance,Raja Babu,8.9
Main To Raste Se Ja Raha Tha,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Coolie No. 1,9.0
Awaarapan Banjarapan,M. M. Keeravani,Bollywood Dance,Jism,9.4
Yeh Raat Aur Yeh Doori,"Asha Bhosle, S.P. Balasubrahmanyam",Bollywood Dance,Andaz Apna Apna,9.3
Mere Dil Jigar Se Guzree Hai,"Alka Yagnik, Kumar Sanu",Bollywood Dance,Soldier,8.5
Yeh Dil Jo Hai Badmaash Hai,"Mohit Chauhan, Monali Thakur, Shreya Ghoshal",Bollywood Dance,Phir Se,9.4
Saawali Si Raat,Arijit Singh,Bollywood Romantic,Barfi,9.8
Aaankhein Milayenge Darr Se,"K. Mohan, Neha Bhasin",Bollywood Dance,Neerja,9.6
Ishq Vishq,"Kamaal khan, Sunidhi Chauhan, Suzanne D'Mello",Bollywood Romantic,Wanted,9.2
Hoshwalon Ko Khabar Kya,Jagjit Singh,Bollywood Sad,Sarfarosh,9.4
Ghoomar,"K.K., Sunidhi Chauhan",Bollywood Dance,Chup Chup Ke,9.0
Dil Mere,Kumar Sanu,Bollywood Dance,Sooryavansham,9.0
Mujhe Haq Hai,"Shreya Ghoshal, Udit Narayan",Bollywood Romantic,Vivah,9.0
Musafir,Tushar Joshi,Bollywood Romantic,Jagga Jasoos,9.5
Chalak Chalak,"Shreya Ghoshal, Udit Narayan, Vinod Rathod",Bollywood Dance,Devdas,9.4
Subah Subah,"Shekhar Ravjiani, Vishal Dadlani, Zubeen Garg",Bollywood Dance,I See You,9.5
Pyar Kar,"Lata Mangeshkar, Udit Narayan",Bollywood Romantic,Dil To Pagal Hai,9.3
O Jaana Na Jaana,"Kumar Sanu, Lata Mangeshkar",Bollywood Romantic,Jab Pyar Kisisi Se Hota Hai,9.3
Mhare Hiwra Main Nache Mor,"Alka Yagnik, Anuradha Paudwal, Hariharan, Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",Bollywood Dance,Hum Saath-Saath Hain,8.6
Raitaa Phail Gayaa,Divya Kumar,Bollywood Dance,Shaandaar,9.2
Tere Bina,Rahat Fateh Ali Khan,Bollywood Romantic,Tezz,9.2
Sava Dollar (Lavni),Sunidhi Chauhan,Bollywood Dance,Aiyyaa,9.1
Baba Meri Yeh Jawani,Falguni Pathak,Bollywood Dance,Ghaath,8.6
Deewana Main Chala,Udit Narayan,Bollywood Dance,Pyaar Kiya To Darna Kya,9.2
Zindagi Ki Yahi Reet Hai,Kishore Kumar,Bollywood Dance,Mr. India,9.1
Chak De,"Sadhana Sargam, Sonu Nigam",Bollywood Dance,Hum Tum,9.3
Sirf Tum,"Anuradha Paudwal, Hariharan",Bollywood Dance,Sirf Tum,8.6
Chhaliya,"Piyush Mishra, Sunidhi Chauhan",Bollywood,Tashan,9.4
Dum Dum Diga Diga,Mukesh,Bollywood Dance,Chhalia,9.2
Aankhon Ne Tumhari,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Ishq Vishk,9.3
Janam Janam,Atif Aslam,Bollywood,Phata Poster Nikhla Hero,9.6
Tanha Tanha,"Aditi Paul, Jubin Nautiyal",Bollywood Romantic,Dil Jo Na Keh Saka,9.0
Heer,"Mahalakshmi, Mika Singh",Bollywood Romantic,Baa Baaa Black Sheep,8.0
Wat Wat Wat,"Arijit Singh, Shashwat Singh",Bollywood Dance,Tamasha,9.5
Tanha Tanha Ghum Ke Dhunde Dil,"Aditi Paul, Jubin Nautiyal",Bollywood Romantic,Dil Jo Na Keh Saka,9.0
Pyar Ki Raahen,Shaan,Bollywood Sad,Bewafaa,9.4
Aap Ki Khatir,Himesh Reshammiya,Bollywood Romantic,Aap Ki Khatir,9.3
Saat Rang Mein Khel Rahi Hain,"Amit Kumar, Anuradha Paudwal",Bollywood Dance,Aakhir Kyon,7.8
Jaadoo Jaadoo,"Adnan Sami, Alka Yagnik",Bollywood Dance,Koi Mil Gaya,8.2
Yaadon Mein,"Cuca Roseta, Jonita Gandhi, Mohammed Irfan",Bollywood Sad,Jab Harry Met Sejal,9.6
Dil Deewana Bin Sajna Ke,S.P. Balasubrahmanyam,Bollywood Dance,Maine Pyar Kiya,9.0
Chori Chori Chupke Chupke,"Alka Yagnik, Babul Supriyo",Bollywood Dance,Chori Chori Chupke Chupke,8.8
Behene De,"Karthik, Mohammed Irfan",Bollywood Dance,Raavan,9.3
O Re Kanchi,"Alka Yagnik, Shaan",Bollywood Dance,Asoka,9.4
Rasiya,Shruti Pathak,Bollywood Sensual,Kurbaan,8.5
Meri Zindagi Ek Pyaas,"Jaspinder Narula, Shankar Mahadevan",Bollywood Sad,Judaai,8.6
Tum Jo Aaye,Rahat Fateh Ali Khan,Bollywood Romantic,Once Upon A Time In Mumbai,9.4
Laal Ishq,Arijit Singh,Bollywood Sad,Goliyon Ki Rasleela Ram-leela,9.5
Tujhe Jeevan Ki Dor Se,"Lata Mangeshkar, Mohammed Rafi",Bollywood Romantic,Asli Naqli,9.0
Aao Bachho Tumhe Dikhaye,Kavi Pradeep,Bollywood Patriotic,Jagriti,9.3
Mujhse Mohabbat Ka,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Hum Hain Rahi Pyaar Ke,8.8
Mujhe Pyaar Hua,"Abhijeet, Alka Yagnik",Bollywood Dance,Judaai,7.7
Satarangi Re,"Kavita Krishnamurthy, Sonu Nigam",Bollywood Dance,Dil Se,9.4
Mann Ki Lagan,Rahat Fateh Ali Khan,Bollywood Sad,Paap,9.2
Dil Na Jaane Kyun,"Anushka Manchanda, Atif Aslam",Bollywood Dance,Jayantabhai Ki Luv Story,9.5
Usne Bola Kem Che,"Bali Brahmbhatt, Sunidhi Chauhan",Bollywood Dance,Jis Desh Main Ganga Rehta Hai,8.9
Sajna Ve Sajna,Sunidhi Chauhan,Bollywood Dance,Chameli,9.4
Mera Yaar,Javed Bashir,Bollywood Romantic,Bhaag Milkha Bhaag,9.5
Jiyein Kyun,Papon,Bollywood Sad,Dum Maaro Dum,9.7
Dil Ki Hai Tamanna,"Neha Bhasin, Shalini Singh, Vijay Prakash",Bollywood Dance,Force,9.6
Dum Duma Dum,"Anuradha Paudwal, Udit Narayan",Bollywood Dance,Dil,8.7
Dil Chahta Hai,Shankar Mahadevan,Bollywood Dance,Dil Chahta Hai,9.5
Aai Pappi – Tu Hai Meri Soniye,Neeraj Shridhar,Bollywood Dance,Kismat Konnection,9.5
Where’s the Party Tonight,"Loy Mendonsa, Shaan, Shankar Mahadevan, Vasundhara Das",Bollywood Dance,Kabhi Alvida Naa Kehna,9.3
Prem Jaal Mein,"Anuradha Sriram, Sukhwinder Singh",Bollywood Dance Romantic,Jis Desh Mein Ganga Rehta Hai,8.7
Boi Boi,"Arun Bakshi, Vinod Rathod",Bollywood Dance,Laadla,8.4
Jeevan Se Bhari Teri Ankhen,Kishore Kumar,Bollywood Romantic,Safar,9.1
Teri Pyari Pyari Soorat Ko,Mohammed Rafi,Bollywood Romantic,Sasural,9.1
Bas Ek Kinng,"Hard Kaur, Jaaved Jaffrey, Neeraj Shridhar",Bollywood Dance,Singh Is Kingh,9.3
Jeena Yahan Marna Yahan,Mukesh,Bollywood Sad,Mera Naam Joker,8.8
Banarasiya,"Anwesshaa, Meenal Jain, Shreya Ghoshal",Bollywood Romantic,Raanjhanaa,9.3
What’s Going On?,"Kunal Ganjawala, Sunidhi Chauhan",Bollywood Dance,Salaam Namaste,9.5
Aye Watan Aye Watan,"Jaspinder Narula, Sukhwinder Singh, Udit Narayan",Bollywood Patriotic,Hindustan Ki Kasam,8.9
Dulhan Hum Le Jayenge,"Alka Yagnik, Kumar Sanu, Sunita Rao",Bollywood Romantic,Dulhan Hum Le Jayenge,8.6
Aa Bhi Ja Sanam,Atif Aslam,Bollywood Sad,Prince,9.4
Salaam Namaste,"Kunal Ganjawala, Vasundhara Das",Bollywood Dance,Salaam Namaste,9.2
